,139M_,143_,179_,201_,316_284,331_284,5_317,521_284,863_317,9_317,98_,AB551,AB555,AB577,AB580,AB636,AB790,PAR1006_3,PAR1022,STG139,STG195,STG282
RUNX2,36.3095,74.75,25.41665,30.7611,34.514,30.88095,61.1875,87.75,57.9,65.5357,30.84375,18.75,14,14.2,43.7847,25.65,6.625,0,30.66665,20,13.04165,12.75
RXRA,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SATB1,0,0,0,3.08333,0.0588235,0,0,4.66667,0,0,0,0.190476,0,0,0,0,0,0,0,0,0,0
SFPQ,10.1765,27.75,9.78571,10.3214,13.6774,11.3871,21.9565,57,22.8462,22.9444,10.7073,7.5,6.25,6,14.8261,9.36364,5.7,0,11.2857,0,4.31579,6.6
SIN3A,21.8889,85.5,17.375,23,28.8235,29.7059,64.5,79,54.8571,60.6,22,20,10,21.8571,43.25,37,9.8,0,31.25,22,13.3,28
SMAD1,0,0,29.5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
SMAD3,83.25,209.896,64.35415,75.2667,99,77.5588,142.038,127.854,170.293,160.743,77,40.2653,6.875,20.2143,97.63565,51.1667,19.175,6.1625,79.6857,21.5,15.08095,30.83335
SMARCA4,21.5,34,26,29,17.25,34,47.16665,23.5,31,39,20,16,0,19,30.6667,35,0,0,18,0,15.5,18
SMARCB1,19,47,31,32,21.3333,35,66.5,23.5,45,65,21.75,21.75,0,31,40,51,0,0,18,0,17,0
SMARCC1,48.5,51,67.25,79,77.5,77.5,112.5,49,63,88,43.75,40.5,0,0,57,49,0,0,0,0,14,0
SMC1A,15,29.5,13.76,15,16,16.5,31.7143,32.3333,26.5,27.2,13.6087,9.11111,7,5.414285,14.6154,11.5714,8,6.42857,11.2222,21,4.71429,9.85
SREBF2,22,22,28.45,38.25,27.875,30.75,23.33335,13.5,24,19.75,21.75,23.375,0,10,15.33335,18.83335,15,18,23,0,19,18
SRF,53,242,41,56.3333,64.75,54.5,108.667,130,194,142,45.2,32.5,0,32,74.3333,54,27,0,52,0,13,24
STAG1,12.26895,20.2281,10.4615,10.353725,11.0463,10.359615,18.9542,36.7857,18.1087,17.8345,8.681475,5.54701,0,3.27273,7.24812,7.722975,0,0,8,0,2.75,0
STAG2,40.5,53.15,49,65,60,51.6667,97,34.3333,55.25,67.6667,47.25,19.8,0,5.66667,45,27.33335,14,0,16.83335,10.3333,7.166665,7
STAT3,25.95,32,16.1429,22.4194,23.78125,18.83335,35.7273,40,35.8125,35,20.2222,11.875,0,7.695235,21.6667,17.5,7.172725,4.5,14,18,7.67172,15.55
SUMO2,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUZ12,0,0,69,60,76,52,112,0,0,0,53,37,0,0,56,0,0,0,0,0,0,0
TAF1,68,172,69,109,90,70.5,258,0,143,188,84,45,0,24,166,100,0,0,0,0,28,0
TCEA2,0,0,32.5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCF12,37,91,19.5,31,28.5,37.3333,81,0,53,53,24,27.6667,0,58,47.5,57,0,0,0,0,20,0
TCF7,36,24,37.5,40.75,34.75,33.25,34,0,57,44,42.5,19.75,0,0,15.5,15.5,0,0,17,0,0,0
TCF7L2,29.63335,111.8335,30.3846,42.375,56,47,79,90.58335,90.3335,79.03335,43.9167,24,16,22.875,53.95835,38.29165,19.6667,0,49.75,0,9.29165,39
TEAD1,14.26389,38.75,13.2589,17.0357,16.5625,16.65625,28.91665,118,37.0952,39.4028,13.67725,11.71875,0,8.66665,20.41665,19.41665,9.916665,0,18.125,0,7.75,25.75
TEAD4,28,42,27.625,48.5,25.5,27.41665,53.5,33.75,50,41,22.25,20.5,0,15,31,38.75,19,0,17.5,0,11.75,0
TET2,38.5,329,58,62.25,99,74,153.5,0,248,358,62,35,0,34,154.5,73.5,49,0,58,0,14,0
TFAP2A,40,100,20.25,38,31.3333,57,84,79,60,135,34.6667,43,0,50,52.5,53.5,19,0,29,0,21,0
TFAP2C,39.2,126.6925,37.32355,45.11805,48.50455,51.251,95.86605,82.55555,71.175,109.7385,44.61135,33.0074,8.5,27.6979,60.9074,47.7037,14.5,8.979165,44.875,23,19.43975,29.5
TLE3,4.42857,19.875,7.084745,5.27273,10.73897,10.277615,11.1875,19.7143,9.21429,11.35,9.96509,12.8,6.208335,10,15.9167,12.398135,7.4375,8.2,11.690495,44,8.9,9.2
TOP2A,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TP53,23,18,15.8,21,10.75,15.25,30.5,36,22.25,25,12.6667,13,17,10.3333,12,11.3333,11.5,0,16.23335,24.5,10.5,17.25
TP63,20.88885,16,11.1429,12.42855,11.65625,10.542505,16.94545,37,18.10715,19.2778,10.66665,8.01736,0,7.410715,9.383335,8.216665,0,6.25,8.375,20.5,5.916665,11.5
TRIM25,59.4,101.333,50.5,73,75,57.0625,62.5,56.5,167,65.1,37,31.3125,17,23.3333,26,36,14,9,44,0,18,31
TRPS1,15,20.75,29,34,3.85714,21.5,30,52,25,19.875,15.75,15,0,12,9.8,18,0,0,0,0,0,0
WWTR1,16.25,26.5,14.25,14,13.33335,14.5,25.08335,0,29.25,18.5,10.275,6.833335,0,0,12.25,16,0,0,0,0,0,0
XBP1,24.5,84,40.5,57.5,81.5,67.5,108,0,96,98.5,58,47,0,0,60.5,49.5,14,0,0,0,19,0
YAP1,17,32,15.9,21.5,13.9,22.3333,33.6667,45.5,32.25,33,15,12.2,0,17.25,19,25,15,0,15,0,9.33333,17
ZBTB17,65,0,56,81,129,58.5,139,57,99,113,60.5,28.5,0,14,81,45,0,0,0,0,18,0
ZFX,107.8335,160.875,76.72875,83.52725,93.75,90.87515,132.0335,227.5,121.0835,143.393,89.8375,37.75,19,19.33335,98.3125,49.75,16.41665,6.33333,79.66665,0,17.3125,21.5
ZMYND8,38.5,159,34.25,57.5,51,61.3333,127.5,52.5,108,207,28.625,65,0,55,89,57.5,0,0,41,0,22.5,0
ZNF143,49.1146,150.518,43.84485,44.34165,71.05455,52.2054,102.861,61.2778,101.8235,109.3335,49.67065,30.91665,7,17.6111,66.5592,41.20835,17.25,6,48.16665,13.5,10.58825,20.5
ZNF217,15,38,17,30,11,28.5,69,38,33,41,15,14.5,0,26,31,49,0,0,0,0,15,0
ZNF516,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF711,97,56,74.08335,124,100,102.25,148,37,86,111.5,86.75,31.5,0,16,77,56.5,0,0,0,0,23,0
